Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2026-04-04,Resident Evil,2002,https://boxd.it/dOzPa1,3,,"Oficialmente primeira vez que assisto inteiramente um dos filmes de resident evil.

Admito que sabia em parte que não era fiel aos jogos, porém como uma obra individual é um filme relativamente bom. Não daria mais estrelas por sentir que é meio forçado alguns detalhes.

Ainda sim, é um filme aparentemente bem planejado, pena que alguns filmes desse diretor sejam meio fracos. 

3 estrelas exclusivas para Milla Jojovich. Que carrega a franquia","ação, 2002, ficção científica",2026-04-03
2026-04-04,Blade II,2002,https://boxd.it/dOKh5X,3.5,,"Lutas muito bem coreografadas. Estética de tecnología surreal da época muito bom como sempre.

Wesley Snipes sempre será o melhor ator e único Blade. Eternizou o personagem, como outros nomes da Marvel. 

Uma pena que o personagem seja tão menosprezado. Tem muito potencial

Me impressou muito saber que foi o Del Toro que fez esse filme","ação, terror",2026-04-03
2026-04-05,The Super Mario Galaxy Movie,2026,https://boxd.it/dPVeW1,3.5,,"Cheio de referências como no primeiro filme, abre possibilidades para um Smash Bros.

A adição do Yoshi aqui foi ótima, substituiu bem o lugar do Donkey Long, mas ainda sim gostaria de ter visto ele aqui.

Por ter a participação do Miyamoto aqui, tudo é bastante fiel. Com os efeitos sonoros que ocorrem nos jogos, como pequenos olás para o público mais assíduo.

Muitas das referências, são de vários jogos diferentes, sem parecer bagunçado.

Em dois filmes conseguiram abraçar quase todo o universo de jogos do super mario e ainda tem muita coisa pra mostrar.","ação, aventura",2026-04-04
2026-04-06,Spider-Man,2002,https://boxd.it/dQXNuz,4,Yes,"Outra pérola da infância, visto pelo menos umas 5-8 vezes.

Gosto da fotografia de 2002 que esse filme tem.
Mas em termos de roteiro, tem pontos que eu mudaria. Porém, acredito que foi uma boa decisão para a época.","sam reimi, ação, 2002",2026-04-05
2026-04-07,Panic Room,2002,https://boxd.it/dRziij,3,,"Realmente um filme bom, tem boas cenas, bastante suspense.

É o primeiro filme Tela Quente (eu acho) que coloco aqui. 

A combinação dos atores, foi boa. Jared Leto sempre sendo inconveniente. Espero ver pelo menos 1 filme que ele seja útil.

De resto, é um filme ok.","suspense, 2002, não ficção, tela quente",2026-04-06
2026-04-07,The Bourne Identity,2002,https://boxd.it/dS0uG7,4,,"Gostei bastante assisti a tarde e parecia bastante um filme de sessão da tarde.

Matt Damon é um bom ator, conheço a ideia do agente Bourne. Mas nunca tinha assistido os filmes. O primeiro fez jus ao personagem e reconheço que precise de mais filmes (e teve mesmo, até um jogo se não me engano).

Depois do desafio de abril, vou ver o resto dos filmes.","ação, sessão da tarde, 2002",2026-04-06
2026-04-08,Scooby-Doo,2002,https://boxd.it/dT102H,4,Yes,"Uma pérola dentre todos os filmes desse ano.
Incrível como apesar de datada algumas piadas, ainda solto o ventinho pelo nariz. Mais pela nostalgia e pela lembrança de infância.

Prefiro o Scooby daqui, é definitivamente a melhor versão. Depois do Scooby do desenho animado (o melhor, Hanna Barbera). {Em terceiro lugar vem o Scooby do jogo de PS2, do Scooby doo Unmasked, mas esse não é o assunto aqui}

Gosto muito desse filme, entra como filme favorito. Mas tenho uma pequena dificuldade em escolher top 10 filmes favoritos. Por gosto de muita coisa.

<b>Mas falando sobre esse filme, </b>não lembrava que era logo nesse primeiro que o Scooby Loo aparecia. E apesar dele ser lelé, gosto muito dele. Fred tem muito a melhorar. Velma merece muito reconhecimento por sua inteligência. Se a Daph fosse um pouco menos patricinha e assumisse essa cara de faixa preta, seja mais divertido ter alguém pra quebrar tudo.

Por fim, Saggy e Scooby, dois <i>maconheiros </i>comilões","2002, aventura, fantasia, live action",2026-04-07
2026-04-09,Lilo & Stitch,2002,https://boxd.it/dTEyOj,3.5,Yes,"É divertidinho, muito bem feita a animação. Somado aos cenários feitos em aquarela.

Gosto do filme, mas não sou tão fã de Lilo e Stitch. Gosto mais do filme que aparece os primos irmãos do Stitch.","2002, infantil",2026-04-08
2026-04-10,Minority Report,2002,https://boxd.it/dUvjkJ,4,,"Tirando o blur fortíssimo que tem nesse filme. Em termos de roteiro, é algo realmente muito bom. Um futuro não tão distante. Que transita entre alta tecnología distópica que o contexto urbano de 2002.

O plot twist é realmente muito bom. É um dos melhores filmes do Tom Cruise que eu já assisti.","ação, ficção científica, 2002",2026-04-09
2026-04-15,Signs,2002,https://boxd.it/dYO4XZ,3.5,,"Admito que é um filme muito bom, graças ao seu diretor.

Esse foi um dos meus traumas de infância, principalmente a cena do alien em Passo Fundo - RS. Que foi o único detalhe que marcou minha cabeça ainda mais por toda a trama e como é tratado o assunto pelos personagens.

Este filme definitivamente não é sobre aliens mas sim sobre a filosofia contatada pelo personagem de Mel Gibson. Sobre o grupo que acredita em sua fé e o grupo que acredita na pura sorte.

O filme mostra isso e muito bem. Fazendo conexões entre as cenas. Sobre a correlação do Ex-padre que finge não crer mais. Que na verdade ainda acredita, só que não está mais lá para ""olhar por nós"".","2002, ficção, suspense",2026-04-13
